epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.844,1.86589,3.3001,1.55449,0.01487,0.57426,0.09896,0.04173,1.44944,3.34581,1.30422,0.00012,0.00012,0.00012
2,235.265,1.56611,2.57361,1.27619,0.02226,0.50813,0.21724,0.1193,1.5732,2.94355,1.19227,0.000254852,0.000254852,0.000254852
3,329.852,1.59344,1.82989,1.25965,0.02026,0.78218,0.25007,0.11883,1.57757,2.93766,1.22286,0.00038416,0.00038416,0.00038416
4,429.679,1.55674,2.01091,1.21649,0.04627,0.38614,0.23522,0.13448,1.47966,2.82634,1.14441,0.000507924,0.000507924,0.000507924
5,526.206,1.51193,1.65253,1.19263,0.82088,0.11345,0.28933,0.14482,1.55343,2.6388,1.22113,0.000626144,0.000626144,0.000626144
6,621.008,1.45691,1.61591,1.23518,0.39475,0.05446,0.11447,0.05048,1.61028,2.82763,1.32621,0.00073882,0.00073882,0.00073882
7,714.983,1.52896,1.74902,1.30843,0.14567,0.09901,0.07676,0.04426,1.60579,2.73546,1.30345,0.000845952,0.000845952,0.000845952
8,809.396,1.51347,1.52229,1.22363,0.21237,0.12376,0.10647,0.05549,1.63399,2.69757,1.32745,0.00094754,0.00094754,0.00094754
9,904.465,1.39252,1.46035,1.21595,0.26844,0.21782,0.18709,0.10015,1.58464,2.46712,1.35481,0.00104358,0.00104358,0.00104358
10,1002.33,1.42145,1.52636,1.17958,0.77634,0.24059,0.49618,0.27196,1.55656,2.29595,1.36682,0.00113408,0.00113408,0.00113408
11,1096.63,1.48419,1.49255,1.24148,0.64822,0.32841,0.46855,0.25532,1.62096,2.2063,1.50064,0.00121904,0.00121904,0.00121904
12,1191.14,1.47562,1.52572,1.20133,0.1763,0.40581,0.15364,0.07526,1.66521,2.90208,1.50007,0.00129845,0.00129845,0.00129845
13,1285.2,1.4325,1.63392,1.14038,0.2373,0.40594,0.20449,0.1069,1.5911,2.35751,1.3698,0.00137232,0.00137232,0.00137232
