epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.237,2.26108,2.04048,1.8625,0.17899,0.11881,0.06452,0.02819,2.81239,3.17746,2.46386,0.00012,0.00012,0.00012
2,212.008,1.98024,1.67658,1.632,0.66183,0.08911,0.12733,0.05693,2.62027,3.08825,2.50342,0.00024713,0.00024713,0.00024713
3,310.106,1.75931,1.53741,1.53456,0.88052,0.07302,0.13673,0.06603,2.53885,3.08128,2.52663,0.0003604,0.0003604,0.0003604
4,410.698,1.7001,1.76123,1.43305,0.81754,0.08874,0.17306,0.08314,2.4359,2.90741,2.46119,0.00045981,0.00045981,0.00045981
5,511.43,1.60793,1.38087,1.33935,0.69349,0.17327,0.25541,0.12456,2.19078,2.51814,2.1858,0.00054536,0.00054536,0.00054536
6,606.601,1.58037,1.35624,1.35727,0.54117,0.25248,0.2964,0.14801,1.979,2.19681,1.91463,0.00061705,0.00061705,0.00061705
7,706.941,1.66252,1.45111,1.39705,0.58157,0.38119,0.3893,0.2186,1.78135,1.86372,1.64561,0.00067488,0.00067488,0.00067488
8,805.837,1.51655,1.26069,1.25674,0.64041,0.41584,0.4418,0.25662,1.70698,1.73054,1.55618,0.00071885,0.00071885,0.00071885
9,907.27,1.39166,1.16423,1.22541,0.71708,0.46535,0.54169,0.31993,1.60955,1.49219,1.43085,0.00074896,0.00074896,0.00074896
10,1006.08,1.39395,1.18348,1.18729,0.72108,0.49914,0.58547,0.34349,1.57072,1.41122,1.37905,0.00076521,0.00076521,0.00076521
11,1102.22,1.4964,1.31179,1.21431,0.68052,0.54835,0.61863,0.34438,1.57729,1.42921,1.37231,0.0007676,0.0007676,0.0007676
12,1197.85,1.50199,1.25594,1.24823,0.67348,0.55139,0.62199,0.34596,1.58174,1.56598,1.34772,0.00075613,0.00075613,0.00075613
13,1293.78,1.55758,1.51881,1.3463,0.67799,0.54202,0.62065,0.34151,1.58694,1.57414,1.33884,0.0007308,0.0007308,0.0007308
14,1391.08,1.43492,1.24243,1.23408,0.63765,0.58911,0.62912,0.34311,1.57922,1.47467,1.32466,0.00069161,0.00069161,0.00069161
15,1490.61,1.34573,1.15058,1.16738,0.67302,0.62156,0.6506,0.36218,1.55925,1.3073,1.29987,0.000614,0.000614,0.000614
16,1587.91,1.39904,1.21907,1.21517,0.73025,0.62871,0.66571,0.37649,1.54723,1.23441,1.27268,0.000515,0.000515,0.000515
17,1684.78,1.43198,1.22043,1.18509,0.71105,0.62129,0.67558,0.37788,1.55906,1.21701,1.27046,0.000416,0.000416,0.000416
18,1781.73,1.42964,1.52783,1.40914,0.7047,0.62615,0.6865,0.38147,1.58246,1.20189,1.26701,0.000317,0.000317,0.000317
19,1879.54,1.43857,1.12002,1.21276,0.71002,0.60609,0.68303,0.3793,1.59216,1.20168,1.26497,0.000218,0.000218,0.000218
20,1976.03,1.33205,1.11086,1.12805,0.70649,0.61965,0.68374,0.38073,1.58356,1.20217,1.26215,0.000119,0.000119,0.000119
